PC,O,H,L,C
589.25,591.8,593.9,581.25,585.75
"6,910.00","6,930.20","6,954.60","6,752.55","6,820.00"
"21,907.65","22,044.50","22,120.00","21,319.75","21,411.65"
"1,474.65","1,480.00","1,485.00","1,471.35","1,479.50"
708.2,703,705.35,690.4,696.7
"1,713.80","1,719.00","1,724.59","1,707.60","Jan 29, 2018 -"
514.1,513.8,515.45,505.5,508.6
698.1,705,707.25,686,692.6
"3,072.65","3,062.25","3,072.00","3,016.15","3,025.00"
939.7,942.45,945.45,916,929.95
250.65,251.45,252.25,248.75,250.6
503.3,503.3,504.9,497.3,499.6
"1,696.60","1,709.60","1,715.00","1,691.80","Jan 29, 2018 -"
712.85,712.8,715,705,713
325.4,325.85,326.85,316.5,319
201.15,202,202.6,196.25,198.45
"1,328.10","1,330.55","1,334.50","1,296.00","1,297.85"
385.25,384.95,386.05,381.1,386.05
"1,493.90","1,479.80","1,484.00","1,448.00","1,478.20"
"14,228.65","14,240.00","14,280.15","14,121.10","14,180.00"
520.65,520.7,522.15,503.3,504.4
307.1,306.55,307.4,300,302
544.8,541,542.5,530.5,533.3
"1,353.25","1,355.55","1,359.30","1,335.10","1,338.20"
507.4,509,510.4,494.4,495.95
"1,760.70","1,760.70","1,765.45","1,734.50","1,742.00"
"1,316.65","1,319.45","1,322.95","1,301.00","1,306.85"
358.35,358.85,359.8,353.55,356.8
377.6,378.5,379.5,370.05,371.9
246.95,247.3,247.95,245.65,246.7
"1,493.90","1,484.00","1,487.90","1,470.10","1,477.10"
247.65,247.75,248.4,246.25,247.8
539.55,542.95,544.35,506.6,508.5
"1,186.65","1,187.00","1,190.05","1,161.00","1,165.00"
461.7,461.7,462.85,452.2,455.1
"1,162.75","1,169.70","1,172.60","1,116.70","1,167.90"
548.7,546.2,547.55,536.85,538
687.1,690.45,692.15,682.05,685
521.75,520.65,521.9,513.5,520.7
21.3,21.3,21.35,20.55,20.8
"1,543.20","1,548.00","1,551.60","1,524.10","1,536.05"
"1,720.35","1,710.00","1,713.95","1,676.00","1,682.80"
"4,431.10","4,425.00","4,435.00","4,354.30","4,432.00"
597.6,598.1,599.4,582.75,585.05
803.55,807,808.75,789,797
370.7,372,372.75,365,368
533.95,533.95,535,522.05,525.15
507.1,509,510,495.1,499.25
"8,817.30","8,788.05","8,805.00","8,711.00","8,775.00"
527.95,533,534,523.5,529
"12,815.40","12,876.00","12,899.95","12,650.00","12,765.00"
"1,641.20","1,647.00","1,650.05","1,620.15","1,623.85"
388.55,388.3,389,383,384.2
559.25,559,560,545,550
"1,456.30","1,465.40","1,468.00","1,443.55","1,445.00"
464.25,464.1,464.9,457.05,463.8
"1,747.05","1,745.00","1,748.00","1,717.35","1,736.00"
"1,512.05","1,515.00","1,517.60","1,480.05","1,502.30"
511.45,511.45,512.3,499.7,506
455.1,455.9,456.65,448.6,456.5
"1,178.90","1,178.55","1,180.45","1,165.00","1,165.00"
314.7,315,315.5,311.15,313.7
317.05,317.5,318,310.05,314.35
"2,048.65","2,050.00","2,053.20","2,008.00","2,030.80"
32.2,32.65,32.7,32,32.15
506.9,509.4,510.1,490.6,491.5
498.25,501.1,501.75,492.15,497.65
194.6,195,195.25,189,190.25
"1,098.70","1,102.95","1,104.35","1,072.20","1,076.90"
958.95,964,965.2,943.2,946.1
249.15,249.75,250.05,246.6,246.65
311.95,314,314.35,305.55,306.7
584.95,588,588.65,575,576.75
"1,042.20","1,044.00","1,045.00","1,009.20","1,018.00"
643.55,646.35,646.95,628.15,632
"2,190.10","2,199.95","2,201.95","2,133.50","2,169.00"
345.95,348,348.3,339.5,346.5
350.45,350.95,351.25,344,346.1
"1,591.15","1,589.40","1,590.75","1,553.05","1,565.00"
"1,305.25","1,305.00","1,306.00","1,288.00","1,303.30"
160.55,161,161.1,157.6,160.4
"1,811.35","1,824.00","1,825.00","1,787.70","1,792.05"
"1,543.15","1,543.20","1,544.00","1,470.30","1,494.60"
"1,380.85","1,379.35","1,380.00","1,359.55","1,364.00"
"1,602.30","1,609.75","1,610.35","1,572.00","1,601.05"
713.25,711.75,712,685.1,692.95
652.25,651.8,652,639.2,646.6
194.4,194.75,194.8,192.5,193.5
"1,224.75","1,224.75","1,225.05","1,125.55","1,151.00"
476.55,479.9,480,469.4,475
250.75,251.75,251.8,248.8,249.25
"2,093.25","2,097.95","2,098.35","2,067.00","2,081.80"
299.9,299.85,299.9,293.2,296.5
"1,297.90","1,305.90","1,306.10","1,278.00","1,300.00"
"1,739.00","1,747.95","1,748.00","1,718.50","1,723.00"
"12,785.15","12,898.00","12,898.00","12,490.70","12,521.00"
"2,117.05","2,120.25","2,120.25","2,061.55","2,094.00"
753,750,750,737.15,745.7
817.55,830,830,796.1,810
"1,150.05","1,152.45","1,152.45","1,110.00","1,111.85"
437.3,442.5,442.5,422.2,426.85
544.6,549,549,511,512.1
"3,116.30","3,113.00","3,113.00","3,061.65","3,065.00"
475.3,475.3,475.3,467.25,468.7
"1,870.85","1,871.00","1,871.00","1,805.00","1,822.95"
797.3,805,805,781,784
577.5,574.95,574.95,567.5,570.3
"2,056.20","2,060.05","2,060.05","2,030.00","2,039.00"
423.25,424.5,424.5,413,417
314.15,319.6,319.6,305,308
250.7,251.4,251.4,245.05,245.65
94.55,94.85,94.85,92.6,93.5
"1,622.75","1,622.75","1,622.75","1,579.20","1,587.50"
532.05,516.3,516.3,492.75,495.9
"1,648.30","1,666.85","1,666.85","1,585.15","1,590.00"
"2,727.25","2,726.20","2,726.20","2,580.00","2,636.00"
33.6,34.55,34.55,32.05,32.9
"14,295.55","14,349.90","14,349.90","14,059.05","14,112.05"
"23,047.55","23,004.00","23,004.00","22,050.00","22,199.05"
"1,449.05","1,454.00","1,454.00","1,414.45","1,428.00"
357.8,359.45,359.45,347.65,351.9
68.5,69.5,69.5,63.5,63.85
397.75,399.9,399.9,382,390
449,453.3,453.3,440.35,443
506.15,508.8,508.8,491.1,495
357.55,359,359,345.2,346
"2,280.85","2,316.80","2,316.80","2,255.55","2,278.05"
64.05,63.5,63.5,60.75,60.75
20.7,20.8,20.8,20.15,20.6
499.55,501.9,501.9,493.6,498
905,914.75,914.75,880.05,885
571,575,575,566,570.25
"1,428.65","1,437.00","1,437.00","1,393.05","1,399.00"
161.85,162.4,162.4,158.85,160.5
"1,166.60","1,174.90","1,174.90","1,153.50","1,154.10"
817,822,822,796,800
496.8,497.5,497.5,470,475
"2,169.25","2,182.80","2,182.80","1,990.00","2,062.00"
"1,401.00","1,409.75","1,409.75","1,391.10","1,400.00"
459.9,468,468,449.1,461.5
825.4,829.45,829.45,799,804
473.85,478,478,470.1,473.9
938.35,942,942,918,936.6
"1,149.80","1,165.00","1,165.00","1,148.00","1,155.00"
376.95,381,381,363.55,368
506,508,508,501.35,508
"1,605.95","1,615.95","1,615.95","1,575.05","1,590.00"
"4,408.70","4,445.70","4,445.70","4,330.15","4,360.00"
170.1,171.8,171.8,163.1,166.05
564.75,573.95,573.95,560,561.2
"3,091.10","3,110.40","3,110.40","3,060.00","3,093.95"
931.4,935.8,935.8,917.05,918
