PC,O,H,L,C
506.85,509.1,521.1,500.25,507
"14,171.50","14,248.15","14,580.00","14,155.00","14,465.05"
314.35,312.05,319.3,311.4,318.75
"1,554.60","1,554.05","1,590.00","1,545.55","1,575.00"
"1,218.05","1,214.00","1,242.05","1,165.00","1,180.00"
396.7,402.9,412.2,395.65,396.25
353.45,353.8,361.95,353.45,358.65
307.35,305,312,302.1,306.2
"1,764.05","1,765.00","1,805.50","1,761.55","1,784.50"
681.75,682,697.6,682,692
522.9,515.3,526.95,512,517.5
95.1,95.1,97.25,90,92.5
"1,146.30","1,154.00","1,180.00","1,150.00","1,151.05"
"1,489.55","1,494.00","1,527.65","1,491.55","1,526.50"
"2,605.00","2,602.00","2,660.00","2,579.80","2,624.00"
658.3,651,665.5,651,661
245.7,247.15,252.65,246.65,247.5
"2,028.35","2,022.10","2,066.95","2,022.10","2,057.90"
648,648,662.35,648,657.95
"1,590.90","1,580.10","1,614.80","1,559.10","1,590.20"
"1,357.00","1,350.50","1,380.00","1,335.10","1,375.00"
908.25,910.1,929.9,895,925.9
453.9,454,463.85,449.5,451.8
951.6,957.4,977.95,937.85,961.1
561.9,560.95,572.95,560.45,565
"4,402.85","4,400.00","4,493.95","4,384.05","4,450.00"
"1,591.05","1,591.05","1,625.00","1,591.05","1,599.00"
"1,413.10","1,410.00","1,439.95","1,392.00","1,425.00"
193.75,193.8,197.9,193.05,193.25
307.05,308.5,315,303.1,315
130.85,131,133.75,130,130.8
"8,837.00","8,840.00","9,025.00","8,825.15","9,017.70"
557.15,557.15,568.8,550.95,560
371.05,362.25,369.75,356.1,358.3
399.75,402.45,410.75,401.1,403.15
505.5,509.55,520,508,518.1
384.75,387,394.9,382,384
533.85,537,547.95,531.05,544.3
497,490.8,500.8,487.5,497
"8,693.90","8,693.90","8,870.70","8,658.20","8,810.00"
"12,557.15","12,549.95","12,805.00","12,501.00","12,758.65"
652,641,654,628.1,640
"1,101.75","1,102.05","1,124.40","1,070.00","1,122.45"
"1,682.75","1,684.00","1,718.00","1,666.15","1,716.95"
"1,143.50","1,145.00","1,167.95","1,139.00","1,152.00"
296.15,295.6,301.5,294.65,300
"1,760.10","1,765.00","1,800.00","1,741.15","1,785.50"
948.2,953.85,972.7,948.2,970.15
541.7,544.2,554.9,544.2,553
203.7,204,208,204,204.25
"6,893.80","6,890.00","7,025.00","6,821.55","6,999.95"
"1,733.35","1,735.00","1,768.90","1,726.00","1,765.00"
524.05,524.75,535,516.25,525.7
917.8,918,935.85,891.05,896.45
769.55,770,784.95,753,760.6
544.35,541,551.5,540.05,544.9
466.95,467,476,465.3,475
20.7,20.8,21.2,20.5,20.85
"1,018.50","1,020.00","1,039.40","1,013.20","1,036.00"
"1,150.45","1,150.50","1,172.35","1,148.05","1,150.00"
363.1,358.2,365,358.2,360.5
524.75,524.75,534.7,522,524
"2,631.70","2,639.00","2,689.00","2,500.00","2,510.00"
125.85,127.5,129.9,126.35,129.3
"2,058.25","2,071.05","2,110.00","2,055.00","2,099.90"
186,184.55,188,184,184.25
"1,784.25","1,785.00","1,818.00","1,773.80","1,814.80"
"8,733.30","8,737.60","8,898.50","8,675.00","8,690.00"
804.3,800.3,815,793,798
"1,159.70","1,166.90","1,188.30","1,132.20","1,143.00"
558.95,564.55,574.9,560.05,563.5
545.6,545.05,555,545,548.9
816.4,812.9,827.7,810,815.5
"2,058.35","2,062.55","2,099.90","2,055.85","2,090.00"
552,555,565,545.2,561
"1,151.45","1,155.00","1,175.75","1,140.05","1,154.00"
"4,424.75","4,450.05","4,529.95","4,430.45","4,445.00"
"1,579.00","1,570.00","1,597.95","1,506.00","1,543.20"
562.95,562,572,562,562.7
"21,486.35","21,615.00","21,999.45","21,301.50","21,851.55"
"1,537.60","1,542.10","1,569.50","1,537.60","1,548.05"
417.9,419.75,427.2,418.05,421.9
395.9,395.95,402.9,393,397.2
348.5,349,355.1,345.45,352.85
550.4,550.4,560,543.1,548
"1,427.20","1,420.00","1,444.75","1,418.00","1,437.00"
"1,097.75","1,102.95","1,122.00","1,085.60","1,087.00"
20.55,20.55,20.9,20.25,20.75
487.75,490.5,498.85,484.95,491.9
693.2,693.35,705.15,693.2,699
372.05,373.5,379.85,368,371.95
193.9,194.5,197.8,193.6,194.95
"1,026.50","1,026.60","1,044.00","1,026.60","1,039.00"
"1,114.35","1,119.70","1,138.65","1,088.10","1,113.80"
189.5,189.5,192.7,178.3,180.1
571.9,574.4,584,567.7,583
263.35,264.9,269.3,261.05,263.05
712.45,715.75,727.6,698.4,700
"1,504.50","1,503.00","1,527.85","1,500.50","1,515.70"
426.3,423,429.95,417,418.35
639.5,643.55,654.1,630,640
"1,829.45","1,835.00","1,864.95","1,806.00","1,840.00"
21.65,21.5,21.85,21.25,21.35
"1,300.35","1,303.00","1,324.20","1,295.15","1,305.80"
496.8,492,500,491.55,498.45
"2,026.50","2,027.00","2,059.95","2,017.00","2,047.00"
"8,732.40","8,729.95","8,870.00","8,704.15","8,833.90"
473.9,475,482.6,472,475.45
213.55,212.8,216.2,210.5,211.95
931.5,930,944.8,920.4,941.7
929.6,931,945.75,931,943.9
649.75,650.6,660.9,643.75,646.1
745.7,745.4,757.2,735.4,739
"1,340.25","1,348.70","1,370.00","1,335.60","1,350.50"
"1,000.05",954.95,970,930,936.95
"1,116.90","1,118.75","1,136.35","1,100.00","1,119.15"
749.25,749.25,761,745.9,754.9
"21,859.20","21,907.00","22,250.00","21,835.50","21,925.00"
86.9,86.35,87.7,82.9,83.6
"1,365.75","1,372.00","1,393.35","1,365.35","1,381.10"
"21,857.60","21,980.00","22,321.90","21,761.00","22,147.95"
659.65,659.65,669.9,655,663.25
506.55,520,528,517.25,520.5
179,179,181.75,176.05,177.25
281.4,280.1,284.4,278.15,279.9
"6,806.55","6,840.00","6,945.00","6,800.00","6,919.95"
505.9,506.5,514.25,502.1,509.7
315.3,314.2,319,312.55,317.05
544.5,543.6,551.9,538.55,544.1
329.85,328.5,333.5,321.5,323.5
463.8,463.7,470.7,463.65,470.5
"2,000.35","2,008.00","2,037.95","1,999.95","2,015.00"
484.6,487.6,494.8,479.25,486.05
"1,841.65","1,841.00","1,868.00","1,816.85","1,819.10"
523.95,527,534.7,521,528.95
"6,910.35","6,900.00","7,000.00","6,857.00","6,900.00"
"2,056.05","2,070.00","2,100.00","2,052.10","2,090.00"
"2,099.75","2,119.35","2,150.00","2,100.00","2,118.00"
"1,154.25","1,155.45","1,172.05","1,132.00","1,151.20"
369.8,369.7,375,368.2,370.3
"2,638.95","2,636.00","2,673.75","2,531.00","2,600.00"
20.7,21.05,21.35,20.55,20.65
890.35,890.35,902.95,875,887.1
469.6,470.3,476.95,459,466.35
407.7,408,413.75,408,412
"1,575.80","1,575.50","1,597.70","1,545.90","1,554.00"
443.75,443.75,450,443.1,447.1
782.65,783,794,775.8,780.3
"14,486.80","14,398.85","14,600.00","14,225.45","14,580.00"
"1,535.35","1,531.00","1,552.35","1,523.05","1,533.00"
507.25,509.5,516.6,506.9,510
"1,742.20","1,740.00","1,764.10","1,727.45","1,736.35"
"1,035.35","1,037.95","1,052.25","1,025.50","1,041.95"
215.2,214.75,217.7,207.15,210
193.65,194.5,197.15,193,194
658.9,662,671,648,650.3
402.5,405,410.5,403.6,407.6
"1,379.65","1,381.00","1,399.75","1,345.05","1,350.00"
